compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender,weight_change_percent,weight_change_significance,ITP,pubmed_id,LogP,TPSA,MolWt,NumHDonors,NumHAcceptors
"(R,R)-cis-Diethyl tetrahydro-2,8-chrysenediol",Caenorhabditis elegans,,33 µM,,,7.0,S,,,Unknown,,,No,24134630,5.173200000000006,40.46,320.43199999999996,2.0,2.0
Rotenone,Caenorhabditis elegans,N2,100 nM,,,10.0,S,,,Hermaphrodite,,,No,24199155,3.7033000000000023,63.22000000000001,394.4230000000002,0.0,6.0
Piericidin A,Caenorhabditis elegans,N2,100 nM,,,5.0,S,,,Unknown,,,No,24199155,5.045120000000006,71.55000000000001,415.5740000000001,2.0,4.0
MPTP,Caenorhabditis elegans,N2,10 nM,,,8.0,S,,,Hermaphrodite,,,No,24199155,2.405500000000001,3.24,173.25900000000001,0.0,1.0
Chicoric acid,Caenorhabditis elegans,N2,100 µM,,,21.0,S,8.0,,Unknown,,,No,24244361,1.2283999999999988,208.11999999999998,474.37400000000014,6.0,10.0
Methylene blue,Mus musculus,UM-HET3,27 ppm food,4 months,until death,1.0,NS,6.0,S,Female,4.0,,Yes,24245565,-0.497099999999999,19.14,319.861,0.0,3.0
Methylene blue,Mus musculus,UM-HET3,27 ppm food,4 months,until death,-2.0,NS,-5.0,NS,Male,4.0,,Yes,24245565,-0.497099999999999,19.14,319.861,0.0,3.0
Acarbose,Mus musculus,UM-HET3,1000 ppm food,4 months,until death,5.0,S,9.0,S,Female,-23.0,,Yes,24245565,-8.5645,321.17,645.6080000000004,14.0,19.0
Acarbose,Mus musculus,UM-HET3,1000 ppm food,4 months,until death,22.0,S,11.0,S,Male,-15.0,,Yes,24245565,-8.5645,321.17,645.6080000000004,14.0,19.0
17‐alpha‐estradiol,Mus musculus,UM-HET3,4.8 ppm food,10 months,until death,0.0,NS,0.0,NS,Female,-7.0,,Yes,24245565,,,,,
17‐alpha‐estradiol,Mus musculus,UM-HET3,4.8 ppm food,10 months,until death,12.0,S,5.0,NS,Male,-11.0,,Yes,24245565,,,,,
GYY4137,Caenorhabditis elegans,N2,100 µM,,,20.9,S,,,Unknown,,,No,24260346,1.4982,42.96,376.4840000000001,2.0,5.0
NT219,Caenorhabditis elegans,N2,600 μm,,,0.16,NS,,,Unknown,,,No,24261972,3.1075000000000017,113.18,412.26099999999997,6.0,6.0
Ginseng extract,Drosophila melanogaster,w1118,12 µg/ml,,,13.5,S,,,Female,,,No,24265871,,,,,
Ginseng extract,Drosophila melanogaster,w1118,1.2 µg/ml,,,14.5,S,,,Female,,,No,24265871,,,,,
Ginseng extract,Drosophila melanogaster,w1118,0.12 µg/ml,,,5.7,NS,,,Female,,,No,24265871,,,,,
Vitamin D3,Caenorhabditis elegans,N2,1000 µg/ml,,,23.0,S,,,Unknown,,,No,24304198,7.6190000000000095,20.23,384.6480000000002,1.0,1.0
CU701,Drosophila melanogaster,Canton S,0.30%,,,5.4,S,,,Female,,,No,24305778,,,,,
